published_papers
ID,タイトル(英語),タイトル(日本語),著者(英語),著者(日本語),誌名(英語),誌名(日本語),出版年月,DOI,主要な業績かどうか
50102830,Presence of Delocalized Ti 3d Electrons in Ultrathin Single-Crystal SrTiO3,null,"Chunchien Chiu,Shengzhu Ho,Jennmin Lee,Yucheng Shao,Yang Shen,Yuchen Liu,Yaowen Chang,Yunzhe Zheng,Rong Huang,Chunfu Chang,Changyang Kuo,Chungang Duan,Shihwen Huang,Janchi Yang,Yide Chuang",null,Nano letters,null,2022-01,10.1021/acs.nanolett.1c04434,false
50102686,Electric-field-induced room-temperature antiferroelectric–ferroelectric phase transition in van der Waals layered GeSe,null,"Zhao Guan,Yifeng Zhao,Xiaoting Wang,Ni Zhong,Xing Deng,Yunzhe Zheng,Jinjin Wang,Dongdong Xu,Ruru Ma,Fangyu Yue,Yan Cheng,Rong Huang,Pinghua Xiang,Zhongming Wei,Junhao Chu,Chungang Duan",null,ACS Nano,null,2022-01,10.1021/acsnano.1c09183,false
50102755,Decoding the double/multiple hysteresis loops in antiferroelectric materials,null,"Tengfei Hu,Zhengqian Fu,Zhenqin Li,Meng Liu,Linlin Zhang,Ziyi Yu,Xuefeng Chen,Yunzhe Zheng,Tie Li,Yuelin Wang,Genshui Wang,Xianlin Dong,Fangfang Xu",null,ACS Applied Materials & Interfaces,null,2021-12,10.1021/acsami.1c19459,false
50102727,Atomic-scale characterization of defects generation during fatigue in ferroelectric Hf0.5Zr0.5O2 films: vacancy generation and lattice dislocation,null,"Yunzhe Zheng,Yonghui Zheng,Zhaomeng Gao,Jun-Hui Yuan,Yan Cheng,Qilan Zhong,Tianjiao Xin,Yiwei Wang,Cheng Liu,Yaru Huang,Rong Huang,Xiangshui Miao,Kan-Hao Xue,Hangbing Lyu",null,IEEE International Electron Devices Meeting,null,2021-12,10.1109/IEDM19574.2021.9720565,true
50102665,HfO2-ZrO2 Superlattice Ferroelectric Capacitor With Improved Endurance Performance and Higher Fatigue Recovery Capability,null,"Yue Peng,Wenwu Xiao,Yan Liu,Chengji Jin,Xinran Deng,Yueyuan Zhang,Fenning Liu,Yunzhe Zheng,Yan Cheng,Bing Chen,Xiao Yu,Yue Hao,Genquan Han",null,IEEE Electron Device Letters,null,2021-12,10.1109/LED.2021.3135961,false
50102710,Antiferroelectric Anisotropy of Epitaxial PbHfO3 Films for Flexible Energy Storage,null,"Mengfu Tsai,Yunzhe Zheng,Sicheng Lu,Junding Zheng,Hao Pan,Chungang Duan,Pu Yu,Rong Huang,Yinghao Chu",null,Advanced Functional Materials,null,2021-10,10.1002/adfm.202105060,false
50102701,High-stability transparent flexible energy storage based on PbZrO3/muscovite heterostructure,null,"Dengli Ko,Ti Hsin,Yuhong Lai,Shengzhu Ho,Yunzhe Zheng,Rong Huang,Hao Pan,Yichun Chen,Yinghao Chu",null,Nano Energy,null,2021-09,10.1016/j.nanoen.2021.106149,false
50102737,In-situ atomic visualization of structural transformation in Hf0.5Zr0.5O2 ferroelectric thin film: from nonpolar tetragonal phase to polar orthorhombic phase,null,"Yunzhe Zheng,Chaorong Zhong,Yonghui Zheng,Zhaomeng Gao,Yan Cheng,Qilan Zhong,Cheng Liu,Yiwei Wang,Ruijuan Qi,Rong Huang,Hangbing Lyu",null,Symposium on VLSI Technology and Circuits,null,2021-06,null,true
50102617,Electronic metal–support interaction modulates single-atom platinum catalysis for hydrogen evolution reaction,null,"Yi Shi,Zhirui Ma,Yiying Xiao,Yunchao Yin,Wenmao Huang,Zhichao Huang,Yunzhe Zheng,Fangya Mu,Rong Huang,Guoyue Shi,Yiyang Sun,Xinghua Xia,Wei Chen",null,Nature communications,null,2021-05,10.1038/s41467-021-23306-6,false
50107372,Application of Atomic Resolution Energy Dispersive X-ray Spectroscopy in Advanced Functional Materials,null,"Yunzhe Zheng, Rong Huang",null,Materials China,null,2023-03,10.7502/j.issn.1674-3962.202109013,true
50107372,Toughening strategy for LaAlO3-SrTiO3 perovskite microwave dielectric ceramics via engineering of Ruddlesden-Popper faults,null,"Xiaoyu Feng,Yunzhe Zheng,Jianwei Zhang,Haonan Wang,Yufan Zheng,Yue Yu,Yuang Chen,Xiaogang Yao,Ke Qu,Zhenzhong Yang,Rong Huang",null,Journal of the European Ceramic Society,null,2025-07,10.1016/j.jeurceramsoc.2025.117643,true
50107372,Dynamic Structure Evolution under Invariant Lattice Framework in Fluorite-Type Ferroelectrics,null,"Yunzhe Zheng,Heng Yu,Tianjiao Xin,Kan-Hao Xue,Yilin Xu,Zhaomeng Gao,Cheng Liu,Qiwendong Zhao,Yonghui Zheng,Xiangshui Miao,Yan Cheng",null,Nano Letters,null,2025-10,10.1021/acs.nanolett.5c03512,true
